track_id,track_name,artist(s)_name,artist_count,released_year,in_spotify_charts,streams,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,total_playlists,bpm_category,danceability_%_category,valence_%_category,energy_%_category,acousticness_%_category,instrumentalness_%_category,liveness_%_category,speechiness_%_category
2437608,OMG,NewJeans,1,2023,27,430977451,124,1,127,80,74,77,36,0,11,4,1824,medium,high,high,high,medium,low,medium,low
4458161,Radio,Lana Del Rey,1,2011,46,284819874,122,3,150,42,20,86,21,0,9,9,9695,high,low,low,high,medium,low,low,medium
4669801,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,44,721975598,108,29,122,78,50,63,27,0,9,5,6097,medium,high,medium,medium,medium,low,low,medium
7750995,505,Arctic Monkeys,1,2007,25,1217120710,80,1,140,52,20,85,0,0,7,5,14603,medium,low,low,high,low,low,low,medium
4497491,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,16,109276132,37,0,140,63,22,54,46,0,12,8,1113,medium,medium,low,medium,high,low,medium,medium
2121928,Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,46,276259178,90,1,119,75,48,53,18,0,18,34,1736,medium,medium,medium,low,medium,low,medium,high
6953068,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,8,54225632,88,0,110,76,96,72,32,0,9,4,186,medium,medium,high,medium,medium,low,low,low
3253565,Perfect,Ed Sheeran,1,2017,13,2559529074,0,0,95,60,17,45,16,0,11,2,18697,low,medium,low,low,medium,low,medium,low
8013969,Romantic Homicide,d4vd,1,2022,23,681583126,55,0,132,56,20,55,45,1,32,3,2467,medium,low,low,medium,high,high,high,low
4181228,Believer,Imagine Dragons,1,2017,23,2594040133,121,10,125,77,74,78,4,0,23,11,22205,medium,medium,high,high,low,low,medium,high
8129977,Novo Balan�,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,7,81102253,9,1,124,84,65,50,67,0,13,6,315,medium,high,medium,low,high,low,medium,medium
1589586,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,8,11956641,2,2,133,93,68,65,42,0,12,25,328,medium,high,medium,medium,medium,low,medium,high
1663974,Without Me,Eminem,1,2002,43,1687664027,76,5,112,92,67,66,0,0,36,9,25068,medium,high,medium,medium,low,low,high,medium
4214662,QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,31,11599388,29,3,97,79,92,89,5,0,6,5,480,low,high,high,high,low,low,low,medium
7910702,Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,32,611700552,8,0,90,59,52,48,38,5,10,11,1293,low,medium,medium,low,medium,high,low,high
7384134,Ojitos Lindos,"Bomba Est��reo, Bad B",2,2022,38,1133865788,113,13,80,65,27,69,8,0,53,4,6305,low,medium,low,medium,medium,low,high,low
3412305,Somewhere Only We Know,Keane,1,2004,16,1089402494,69,0,172,45,33,59,6,0,8,3,25361,high,low,medium,medium,low,low,low,low
8251078,Those Eyes,New West,1,2019,14,411747614,71,1,120,60,24,35,73,0,31,3,1575,medium,medium,low,low,high,low,high,low
1078549,El Gordo Trae El Mando,Chino Pacas,1,2023,21,255932395,71,2,140,74,96,80,18,0,5,5,550,medium,medium,high,high,medium,low,low,medium
8209238,Mi Bello Angel,Natanael Cano,1,2023,8,31873544,76,1,128,81,90,77,1,0,9,5,96,medium,high,high,high,low,low,low,medium
6776344,Bye,Peso Pluma,1,2023,14,95053634,110,2,122,78,70,81,57,0,10,5,345,medium,high,high,high,high,low,low,medium
3766692,Danza Kuduro,"Don Omar, Lucenzo",2,2010,37,1279434863,81,1,130,47,86,92,8,0,5,24,18231,medium,low,high,high,medium,low,low,high
4335470,Nosso Quadro,"Ana Castela, AgroPlay",2,2023,9,233801632,88,3,160,69,61,71,33,0,31,20,974,high,medium,medium,medium,medium,low,high,high
3369956,Locked Out Of Heaven,Bruno Mars,1,2012,9,1481349984,0,0,144,73,87,70,6,0,28,5,1978,high,medium,high,medium,low,low,high,medium
